PairNumber,PairVariance,PairDescription,FilterType,FilterRank,FilterVariance,FilterLatency,TargetSize,Amplitude,N,MeanMT,Ae,We,IDe,TP
2,7,"Medium Variance (~7.0) - Balanced",oneEuro,27,6.7023,263.16,163.71,317.79,8,2.3270,559.62,125.97,2.4442,1.0504
3,12.5,"Higher Variance (~12.5) - More Responsive",exponential,23,12.5275,290.57,96.30000000000001,240.75,8,3.1088,426.46,67.20,2.8770,0.9255
3,12.5,"Higher Variance (~12.5) - More Responsive",exponential,23,12.5275,290.57,96.30000000000001,317.79,8,3.3796,568.46,115.53,2.5657,0.7592
3,12.5,"Higher Variance (~12.5) - More Responsive",exponential,23,12.5275,290.57,130.005,240.75,8,2.8875,444.22,118.62,2.2464,0.7780
3,12.5,"Higher Variance (~12.5) - More Responsive",exponential,23,12.5275,290.57,130.005,317.79,8,3.0220,583.11,104.57,2.7172,0.8991
3,12.5,"Higher Variance (~12.5) - More Responsive",exponential,23,12.5275,290.57,163.71,240.75,8,1.8689,416.05,90.21,2.4884,1.3315
3,12.5,"Higher Variance (~12.5) - More Responsive",exponential,23,12.5275,290.57,163.71,317.79,8,2.2356,539.02,116.46,2.4927,1.1150
3,12.5,"Higher Variance (~12.5) - More Responsive",oneEuro,43,12.5063,255.62,96.30000000000001,240.75,8,3.4285,417.23,44.44,3.3769,0.9849
3,12.5,"Higher Variance (~12.5) - More Responsive",oneEuro,43,12.5063,255.62,96.30000000000001,317.79,8,2.9059,560.77,64.14,3.2843,1.1302
3,12.5,"Higher Variance (~12.5) - More Responsive",oneEuro,43,12.5063,255.62,130.005,240.75,8,2.8004,429.39,53.28,3.1794,1.1353
3,12.5,"Higher Variance (~12.5) - More Responsive",oneEuro,43,12.5063,255.62,130.005,317.79,8,2.5609,591.84,122.15,2.5473,0.9947
3,12.5,"Higher Variance (~12.5) - More Responsive",oneEuro,43,12.5063,255.62,163.71,240.75,8,2.5964,419.05,175.25,1.7618,0.6786
3,12.5,"Higher Variance (~12.5) - More Responsive",oneEuro,43,12.5063,255.62,163.71,317.79,8,1.5353,574.03,164.65,2.1656,1.4106
