ParticipantID,Part,FilterOrder,VarianceOrder,PairNumber,PairVariance_px,PairVariance_pct,PairDescription,FilterType,FilterRank,FilterVariance_px,FilterLatency,TargetSize,Amplitude,NCompleted,NTotal,NTimedOutInProgress,NTimedOutNotAttempted,CompletionRate,MeanMT,Ae,We,IDe,TP,MeanReEntries
P05,Part A,exponential,High → Low → Med,1,1.6739310874911477,0.1762,"Low SD (~1.7) - Interpolated",oneEuro,interp,1.6739,2027.71,95,403.75,8,8,0,0,1.0000,4.3348,740.4801,58.2199,3.7781,0.8716,0.25
P05,Part A,exponential,High → Low → Med,1,1.6739310874911477,0.1762,"Low SD (~1.7) - Interpolated",oneEuro,interp,1.6739,2027.71,57,237.5,8,8,0,0,1.0000,4.4879,432.7467,59.0357,3.0584,0.6815,0.50
P05,Part A,exponential,High → Low → Med,1,1.6739310874911477,0.1762,"Low SD (~1.7) - Interpolated",oneEuro,interp,1.6739,2027.71,57,422.75,8,8,0,0,1.0000,5.3079,764.6490,54.4371,3.9114,0.7369,1.13
P05,Part A,exponential,High → Low → Med,2,9.659814761882934,1.0168,"Medium SD (~9.7) - Interpolated",exponential,interp,9.6598,575.66,95,237.5,8,8,0,0,1.0000,3.8338,422.8615,69.4317,2.8259,0.7371,0.63
P05,Part A,exponential,High → Low → Med,2,9.659814761882934,1.0168,"Medium SD (~9.7) - Interpolated",exponential,interp,9.6598,575.66,95,403.75,8,8,0,0,1.0000,4.1177,723.5139,37.1530,4.3557,1.0578,0.75
P05,Part A,exponential,High → Low → Med,2,9.659814761882934,1.0168,"Medium SD (~9.7) - Interpolated",exponential,interp,9.6598,575.66,57,237.5,8,8,0,0,1.0000,4.6766,427.9866,44.6109,3.4051,0.7281,0.88
P05,Part A,exponential,High → Low → Med,2,9.659814761882934,1.0168,"Medium SD (~9.7) - Interpolated",exponential,interp,9.6598,575.66,57,422.75,8,8,0,0,1.0000,5.8453,761.5490,43.5291,4.2091,0.7201,1.75
P05,Part A,exponential,High → Low → Med,2,9.659814761882934,1.0168,"Medium SD (~9.7) - Interpolated",oneEuro,interp,9.6598,381.25,95,237.5,8,8,0,0,1.0000,3.1806,431.0714,24.6252,4.2099,1.3236,0.13
P05,Part A,exponential,High → Low → Med,2,9.659814761882934,1.0168,"Medium SD (~9.7) - Interpolated",oneEuro,interp,9.6598,381.25,95,403.75,8,8,0,0,1.0000,3.7152,721.4590,53.3523,3.8602,1.0390,0.50
P05,Part A,exponential,High → Low → Med,2,9.659814761882934,1.0168,"Medium SD (~9.7) - Interpolated",oneEuro,interp,9.6598,381.25,57,237.5,8,8,0,0,1.0000,5.8466,431.2491,48.5735,3.3043,0.5652,1.50
P05,Part A,exponential,High → Low → Med,2,9.659814761882934,1.0168,"Medium SD (~9.7) - Interpolated",oneEuro,interp,9.6598,381.25,57,422.75,8,8,0,0,1.0000,5.1020,762.5285,56.0775,3.8677,0.7581,1.13
