PairNumber,PairVariance,PairDescription,FilterType,FilterRank,FilterVariance,FilterLatency,TargetSize,Amplitude,N,MeanMT,Ae,We,IDe,TP
3,12.5,"Higher Variance (~12.5) - More Responsive",exponential,23,12.5275,290.57,59.6,149,8,4.5052,274.50,56.00,2.5612,0.5685
3,12.5,"Higher Variance (~12.5) - More Responsive",exponential,23,12.5275,290.57,59.6,196.68,8,3.3498,359.22,29.51,3.7195,1.1104
3,12.5,"Higher Variance (~12.5) - More Responsive",exponential,23,12.5275,290.57,80.46000000000001,149,8,3.7801,264.83,58.41,2.4684,0.6530
3,12.5,"Higher Variance (~12.5) - More Responsive",exponential,23,12.5275,290.57,80.46000000000001,196.68,8,3.2238,359.95,62.76,2.7518,0.8536
3,12.5,"Higher Variance (~12.5) - More Responsive",exponential,23,12.5275,290.57,101.32000000000001,149,8,2.4451,263.27,59.85,2.4327,0.9949
3,12.5,"Higher Variance (~12.5) - More Responsive",exponential,23,12.5275,290.57,101.32000000000001,196.68,8,3.0824,343.09,56.07,2.8316,0.9186
3,12.5,"Higher Variance (~12.5) - More Responsive",oneEuro,43,12.5063,255.62,59.6,149,8,32.8241,267.39,60.02,2.4476,0.0746
3,12.5,"Higher Variance (~12.5) - More Responsive",oneEuro,43,12.5063,255.62,59.6,196.68,8,3.4978,354.89,66.94,2.6557,0.7593
3,12.5,"Higher Variance (~12.5) - More Responsive",oneEuro,43,12.5063,255.62,80.46000000000001,149,8,2.6048,271.07,66.31,2.3470,0.9011
3,12.5,"Higher Variance (~12.5) - More Responsive",oneEuro,43,12.5063,255.62,80.46000000000001,196.68,8,3.7732,356.84,68.58,2.6330,0.6978
3,12.5,"Higher Variance (~12.5) - More Responsive",oneEuro,43,12.5063,255.62,101.32000000000001,149,8,2.0271,285.00,78.33,2.2137,1.0920
3,12.5,"Higher Variance (~12.5) - More Responsive",oneEuro,43,12.5063,255.62,101.32000000000001,196.68,8,2.6973,360.37,67.74,2.6600,0.9861
