PairNumber,PairVariance,PairDescription,FilterType,FilterRank,FilterVariance,FilterLatency,TargetSize,Amplitude,N,MeanMT,Ae,We,IDe,TP
2,7,"Medium Variance (~7.0) - Balanced",exponential,9,7.0109,504.11,128.18,188.5,8,2.0980,356.41,81.36,2.4277,1.1572
2,7,"Medium Variance (~7.0) - Balanced",exponential,9,7.0109,504.11,128.18,248.82000000000002,8,3.6987,455.16,76.12,2.8031,0.7579
2,7,"Medium Variance (~7.0) - Balanced",oneEuro,27,6.7023,263.16,75.4,188.5,8,3.8794,341.84,80.50,2.3913,0.6164
2,7,"Medium Variance (~7.0) - Balanced",oneEuro,27,6.7023,263.16,75.4,248.82000000000002,8,5.4456,447.61,53.49,3.2276,0.5927
2,7,"Medium Variance (~7.0) - Balanced",oneEuro,27,6.7023,263.16,101.79,188.5,8,3.0851,344.90,91.67,2.2517,0.7299
2,7,"Medium Variance (~7.0) - Balanced",oneEuro,27,6.7023,263.16,101.79,248.82000000000002,8,3.0329,439.66,57.95,3.1022,1.0229
2,7,"Medium Variance (~7.0) - Balanced",oneEuro,27,6.7023,263.16,128.18,188.5,8,2.5771,330.09,105.51,2.0456,0.7938
2,7,"Medium Variance (~7.0) - Balanced",oneEuro,27,6.7023,263.16,128.18,248.82000000000002,8,2.4936,444.34,111.37,2.3189,0.9299
3,12.5,"Higher Variance (~12.5) - More Responsive",exponential,23,12.5275,290.57,75.4,188.5,8,4.3657,344.19,64.56,2.6625,0.6099
3,12.5,"Higher Variance (~12.5) - More Responsive",exponential,23,12.5275,290.57,75.4,248.82000000000002,8,4.9350,459.45,79.46,2.7617,0.5596
3,12.5,"Higher Variance (~12.5) - More Responsive",exponential,23,12.5275,290.57,101.79,188.5,8,4.3681,334.47,89.71,2.2413,0.5131
3,12.5,"Higher Variance (~12.5) - More Responsive",exponential,23,12.5275,290.57,101.79,248.82000000000002,8,4.7530,459.85,71.14,2.8999,0.6101
3,12.5,"Higher Variance (~12.5) - More Responsive",exponential,23,12.5275,290.57,128.18,188.5,8,3.2436,354.43,112.94,2.0490,0.6317
3,12.5,"Higher Variance (~12.5) - More Responsive",exponential,23,12.5275,290.57,128.18,248.82000000000002,8,3.8422,472.63,78.93,2.8048,0.7300
3,12.5,"Higher Variance (~12.5) - More Responsive",oneEuro,43,12.5063,255.62,75.4,188.5,8,4.4091,346.66,54.06,2.8901,0.6555
3,12.5,"Higher Variance (~12.5) - More Responsive",oneEuro,43,12.5063,255.62,75.4,248.82000000000002,8,4.5852,460.46,66.24,2.9912,0.6524
3,12.5,"Higher Variance (~12.5) - More Responsive",oneEuro,43,12.5063,255.62,101.79,188.5,8,2.7667,347.50,51.29,2.9588,1.0695
3,12.5,"Higher Variance (~12.5) - More Responsive",oneEuro,43,12.5063,255.62,101.79,248.82000000000002,8,3.1931,467.81,91.32,2.6141,0.8187
3,12.5,"Higher Variance (~12.5) - More Responsive",oneEuro,43,12.5063,255.62,128.18,188.5,8,2.2956,346.64,73.28,2.5187,1.0972
3,12.5,"Higher Variance (~12.5) - More Responsive",oneEuro,43,12.5063,255.62,128.18,248.82000000000002,8,3.4194,450.83,116.56,2.2833,0.6677
